customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
1052-IEERI,2020-12-14,Paid,2021-12-09,Basic,Annual,2021-06-06,Not enough content,6.99,281,54,1,priya,India,Karnataka,Male,1970-11-30,,,,
1053-QSDOQ,2020-03-18,Organic,2020-04-17,Basic,Monthly,,,9.99,281,44,0,ayaan,India,Tamil Nadu,Male,1985-07-19,2021-12-17,N,80.0,1.0
1054-MTQJO,2023-08-22,Paid,2023-09-21,Standard,Monthly,2025-01-12,Too expensive,12.99,126,68,1,isha,India,Tamil Nadu,Male,2003-04-04,2026-03-24,Y,15.0,1.0
1055-CNDXX,2019-07-30,Refferal,2020-07-24,Standard,Annual,,,13.99,681,24,0,diya,India,Karnataka,Male,1995-01-21,,,,
1056-GEVPH,2025-03-30,Refferal,2026-03-25,Standard,Annual,2026-06-30,Forgot to cancel trial,17.99,449,52,1,pooja,India,Maharashtra,Male,1970-02-26,,,,
1057-LAFES,2022-06-30,Organic,2022-07-30,Basic,Monthly,,,8.99,391,32,0,kabir,India,Meghalaya,Male,1969-02-12,,,,
1058-BVCIO,2022-03-06,Organic,2022-04-05,Basic,Monthly,,,6.99,299,71,0,kabir,India,Meghalaya,Female,1983-07-31,2024-04-29,Y,26.0,3.0
1059-FEMRW,2022-07-06,Organic,2022-08-05,Premium,Monthly,,,20.99,849,60,0,ayaan,India,Gujarat,Male,1968-03-26,2023-06-03,Y,49.0,1.0
1060-WLCND,2024-09-21,Refferal,2024-10-21,Standard,Monthly,,,12.99,506,76,0,ayaan,India,Meghalaya,Male,1982-10-03,,,,
1061-UEHDE,2024-01-13,Paid,2025-01-07,Basic,Annual,,,9.99,730,70,0,krishna,India,Telangana,Female,1999-02-07,,,,
1062-UKEOC,2019-08-22,Paid,2019-09-21,Basic,Monthly,2020-07-25,Switched to competitor,6.99,68,96,1,myra,India,Nagaland,Male,1991-07-13,,,,
1063-ZXBOZ,2019-12-12,Refferal,2020-01-11,Premium,Monthly,,,22.99,298,63,0,tara,India,West Bengal,Female,1987-06-29,,,,
1064-TFLLJ,2021-10-29,Paid,2021-11-28,Basic,Monthly,,,8.99,511,70,0,saanvi,India,Meghalaya,Male,2000-05-27,2024-05-24,N,86.0,1.0
1065-ETWCJ,2024-11-26,Paid,2025-11-21,Standard,Annual,2026-06-30,Too expensive,17.99,539,50,1,meera,India,Meghalaya,Male,2001-06-24,,,,
1066-KYPGH,2020-06-20,Organic,2021-06-15,Premium,Annual,,,22.99,441,56,0,arjun,India,Karnataka,Male,1987-10-10,,,,
1067-BNLVX,2023-02-15,Refferal,2024-02-10,Basic,Annual,,,6.99,417,54,0,ayaan,India,Nagaland,Female,1975-07-01,,,,
1068-QQNFG,2020-05-25,Organic,2020-06-24,Premium,Monthly,,,29.99,402,46,0,priya,India,Tamil Nadu,Male,1967-05-05,2022-09-08,N,67.0,2.0
1069-HMCLH,2020-07-22,Refferal,2020-08-21,Basic,Monthly,,,9.99,349,26,0,aarav,India,Uttar Pradesh,Male,2000-07-01,,,,
1070-ERXTQ,2019-09-15,Refferal,2019-10-15,Basic,Monthly,2021-03-24,Poor streaming quality,8.99,49,87,1,aadhya,India,Maharashtra,Female,1978-07-06,2020-09-10,Y,36.0,1.0
1071-VVCQL,2019-03-08,Organic,2019-04-07,Basic,Monthly,2019-06-30,Too expensive,9.99,506,99,1,aditya,India,Gujarat,Male,1982-07-08,2020-02-17,N,56.0,1.0
1072-WPUFZ,2022-06-24,Refferal,2023-06-19,Basic,Annual,,,8.99,614,37,0,arjun,India,Maharashtra,Female,1966-08-29,,,,
1073-GJLYB,2022-10-20,Paid,2022-11-19,Standard,Monthly,,,13.99,551,57,0,pooja,India,West Bengal,Male,2000-11-09,,,,
1074-ZCXNC,2024-01-01,Paid,2024-01-31,Basic,Monthly,,,8.99,255,65,0,aadhya,India,Tamil Nadu,Female,1989-06-21,2025-10-16,N,48.0,2.0
1075-VUMLQ,2023-01-23,Refferal,2023-02-22,Basic,Monthly,2024-10-09,Switched to competitor,8.99,131,70,1,priya,Nepal,Kathmandu,Male,1971-05-29,,,,
1076-QLMKU,2021-12-02,Paid,2022-01-01,Standard,Monthly,,,13.99,296,51,0,krishna,India,Telangana,Male,1998-01-01,,,,
1077-PGDEC,2022-05-13,Paid,2023-05-08,Standard,Annual,,,13.99,904,62,0,kiara,India,Karnataka,Female,1968-12-09,,,,
1078-ZLQHD,2020-06-15,Refferal,2020-07-15,Standard,Monthly,,,17.99,141,58,0,reyansh,India,Karnataka,Female,1966-03-07,,,,
1079-QNYNS,2021-01-15,Refferal,2021-02-14,Standard,Monthly,,,17.99,220,26,0,aditya,India,Karnataka,Male,1985-03-09,,,,
1080-JFFKW,2022-05-25,Paid,2023-05-20,Basic,Annual,,,6.99,124,40,0,ayaan,India,Uttar Pradesh,Male,2002-12-12,,,,
1081-EFVTX,2021-05-13,Refferal,2022-05-08,Basic,Annual,,,8.99,374,29,0,dev,India,Tamil Nadu,Male,2002-01-07,,,,
1082-RJUJP,2020-08-11,Paid,2020-09-10,Basic,Monthly,2022-09-30,Too expensive,8.99,289,74,1,ayaan,India,West Bengal,Female,1968-04-10,,,,
1083-KHODI,2022-09-03,Refferal,2022-10-03,Premium,Monthly,,,20.99,466,27,0,kiara,India,Telangana,Male,1978-01-07,,,,
1084-JPACM,2024-04-11,Paid,2024-05-11,Basic,Monthly,2024-06-03,Forgot to cancel trial,9.99,279,77,1,isha,India,Nagaland,Female,1991-03-03,2025-11-15,N,68.0,1.0
1085-CMQOY,2020-08-13,Organic,2021-08-08,Standard,Annual,,,13.99,622,20,0,meera,India,Rajasthan,Male,1970-10-10,2021-07-20,N,78.0,1.0
1086-ETQEK,2022-05-12,Paid,2022-06-11,Standard,Monthly,,,13.99,69,66,0,riya,India,Tamil Nadu,Female,1992-08-27,,,,
1087-SJZXW,2023-04-07,Organic,2024-04-01,Standard,Annual,2025-04-18,Switched to competitor,17.99,1061,39,1,rohan,India,Delhi,Male,1994-05-30,2023-09-09,Y,23.0,1.0
1088-QYTPX,2024-02-26,Organic,2024-03-27,Premium,Monthly,,,20.99,560,69,0,rahul,India,Delhi,Female,1990-02-28,,,,
1089-GHIRJ,2022-01-25,Refferal,2022-02-24,Basic,Monthly,2023-10-19,Not enough content,9.99,337,74,1,ayaan,India,Rajasthan,Female,1995-12-18,2024-09-06,N,62.0,3.0
1090-DTXSH,2020-07-17,Paid,2020-08-16,Basic,Monthly,2022-03-17,Poor customer support,6.99,99,86,1,ayaan,India,Delhi,Female,1993-08-14,,,,
1091-JKJUB,2019-05-29,Refferal,2019-06-28,Premium,Monthly,,,20.99,709,36,0,riya,India,Maharashtra,Female,1989-01-02,,,,
1092-AJSTD,2022-09-16,Organic,2022-10-16,Premium,Monthly,2024-02-12,Poor streaming quality,20.99,269,73,1,riya,India,Uttar Pradesh,Female,2004-11-21,,,,
1093-GFTUM,2019-01-28,Organic,2019-02-27,Basic,Monthly,2019-11-10,Too expensive,6.99,180,90,1,rishi,India,Meghalaya,Male,1982-12-25,2021-01-06,Y,52.0,1.0
1094-OJFMV,2020-09-19,Refferal,2020-10-19,Standard,Monthly,,,13.99,587,74,0,isha,Nepal,Kathmandu,Male,1993-08-26,,,,
1095-YRZVG,2019-09-10,Refferal,2019-10-10,Standard,Monthly,,,12.99,435,58,0,neha,India,Telangana,Male,1988-07-28,,,,
1096-QODVG,2024-03-08,Paid,2024-04-07,Standard,Monthly,,,12.99,340,51,0,yash,India,Tamil Nadu,Female,2001-04-11,,,,
1097-XGSCB,2020-07-08,Organic,2020-08-07,Premium,Monthly,,,20.99,1167,40,0,aadhya,India,Uttar Pradesh,Male,2005-02-10,,,,
1098-MMCVV,2019-01-15,Organic,2019-02-14,Premium,Monthly,,,20.99,499,66,0,pooja,India,Gujarat,Male,1970-04-28,,,,
1099-HHOLE,2021-04-24,Refferal,2022-04-19,Standard,Annual,2023-02-06,Switched to competitor,12.99,726,36,1,krishna,India,Telangana,Male,1966-06-12,,,,
1100-MOHRG,2022-05-21,Refferal,2023-05-16,Standard,Annual,,,12.99,742,44,0,neha,India,Delhi,Male,1975-07-04,,,,
1101-BRSXF,2023-09-02,Refferal,2024-08-27,Premium,Annual,,,22.99,713,54,0,rohan,India,West Bengal,Female,1967-02-08,,,,
1102-HJWEZ,2019-11-20,Organic,2019-12-20,Basic,Monthly,,,9.99,239,74,0,kiara,India,Delhi,Female,1989-12-31,,,,
1103-VTTBC,2021-05-17,Refferal,2021-06-16,Premium,Monthly,,,20.99,265,70,0,reyansh,India,Tamil Nadu,Female,1986-07-04,,,,
1104-WGMHR,2024-04-07,Paid,2025-04-02,Basic,Annual,,,9.99,388,49,0,anaya,India,Rajasthan,Male,1978-11-02,,,,
1105-SHXEA,2024-08-07,Paid,2024-09-06,Basic,Monthly,,,6.99,323,91,0,krishna,India,Gujarat,Female,1978-03-30,,,,
1106-POFXZ,2019-07-18,Paid,2020-07-12,Premium,Annual,,,20.99,721,51,0,diya,India,Karnataka,Female,1973-04-04,2020-02-26,N,68.0,1.0
1107-TUVTP,2024-08-19,Refferal,2024-09-18,Standard,Monthly,,,12.99,624,34,0,kabir,India,Nagaland,Female,1965-07-14,,,,
1108-QEHGT,2021-07-14,Paid,2022-07-09,Basic,Annual,2023-12-23,Forgot to cancel trial,6.99,461,72,1,isha,India,Rajasthan,Male,2000-08-29,2022-11-13,Y,10.0,1.0
1109-CPNUZ,2024-05-01,Refferal,2024-05-31,Premium,Monthly,,,29.99,269,43,0,anaya,India,Tamil Nadu,Male,2005-02-20,,,,
1110-KAGSE,2025-01-23,Refferal,2025-02-22,Standard,Monthly,,,17.99,251,77,0,neha,Nepal,Kathmandu,Male,1978-06-05,2026-01-12,Y,37.0,2.0
1111-YKAUI,2022-04-24,Paid,2023-04-19,Standard,Annual,,,12.99,651,35,0,priya,India,Nagaland,Male,1989-10-22,2024-02-02,Y,34.0,2.0
1112-OLYID,2020-01-17,Organic,2020-02-16,Standard,Monthly,,,17.99,516,26,0,arjun,India,Maharashtra,Female,1989-12-26,,,,
1113-YCXRH,2023-11-16,Organic,2023-12-16,Basic,Monthly,2024-11-01,Poor streaming quality,6.99,55,84,1,tara,India,Gujarat,Female,1972-08-09,,,,
1114-GODEJ,2020-07-11,Refferal,2020-08-10,Standard,Monthly,,,17.99,928,41,0,aarav,India,Meghalaya,Female,2001-01-25,,,,
1115-MKJXW,2021-03-29,Organic,2022-03-24,Basic,Annual,,,9.99,423,78,0,rohan,India,Nagaland,Female,1979-08-15,2023-11-19,N,73.0,2.0
1116-VPEUJ,2024-12-28,Paid,2025-12-23,Basic,Annual,,,8.99,753,55,0,ayaan,India,Rajasthan,Female,2000-05-25,2026-06-30,N,50.0,3.0
1117-YKZND,2020-09-09,Paid,2021-09-04,Standard,Annual,,,17.99,243,36,0,aarav,India,Maharashtra,Female,1984-12-30,,,,
1118-CDXEL,2022-07-30,Paid,2022-08-29,Basic,Monthly,2022-10-28,Forgot to cancel trial,8.99,84,70,1,ishaan,India,Uttar Pradesh,Female,1988-05-17,,,,
1119-XHQFR,2019-04-30,Paid,2019-05-30,Standard,Monthly,,,13.99,230,55,0,sai,India,Uttar Pradesh,Female,1975-05-27,2020-02-09,N,95.0,1.0
1120-SDZRF,2023-05-27,Paid,2024-05-21,Standard,Annual,,,17.99,606,47,0,diya,India,Uttar Pradesh,Male,1976-10-08,,,,
1121-VWZJT,2023-05-11,Paid,2023-06-10,Basic,Monthly,2023-11-13,Poor streaming quality,9.99,286,97,1,tara,India,Maharashtra,Male,1970-04-16,,,,
1122-PJEFK,2024-07-20,Refferal,2025-07-15,Basic,Annual,,,9.99,436,56,0,rishi,India,Nagaland,Male,1965-06-07,2025-03-02,Y,27.0,1.0
1123-RJFYO,2025-01-29,Refferal,2025-02-28,Basic,Monthly,,,8.99,62,64,0,tara,Nepal,Kathmandu,Female,1989-08-29,,,,
1124-DXUYH,2021-05-09,Refferal,2022-05-04,Standard,Annual,,,12.99,716,63,0,ishaan,India,Delhi,Male,2003-09-05,,,,
1125-NFTEZ,2022-03-31,Refferal,2022-04-30,Standard,Monthly,,,13.99,626,66,0,reyansh,India,Telangana,Male,1988-11-16,2024-03-18,N,60.0,2.0
1126-WKHYV,2023-07-09,Refferal,2023-08-08,Standard,Monthly,,,12.99,307,52,0,saanvi,India,Nagaland,Male,1993-03-01,,,,
1127-KSAYX,2024-07-19,Refferal,2024-08-18,Premium,Monthly,,,20.99,454,49,0,aditya,Nepal,Kathmandu,Male,2003-02-19,,,,
1128-VYBBD,2020-06-24,Organic,2021-06-19,Basic,Annual,,,9.99,282,39,0,rohan,India,Nagaland,Female,1984-10-18,,,,
1129-ICLVU,2024-05-07,Organic,2024-06-06,Standard,Monthly,2026-02-18,Switched to competitor,12.99,627,51,1,sai,India,Delhi,Male,1997-07-26,,,,
1130-NWEPC,2020-08-08,Organic,2020-09-07,Standard,Monthly,2022-04-21,Switched to competitor,12.99,535,69,1,ayaan,India,Meghalaya,Male,1969-08-18,,,,
1131-ENTVO,2020-07-26,Refferal,2020-08-25,Standard,Monthly,2022-07-01,Switched to competitor,13.99,594,94,1,pooja,India,Telangana,Male,1971-04-13,,,,
1132-WAVJG,2020-04-06,Organic,2021-04-01,Premium,Annual,,,22.99,1300,47,0,isha,India,Tamil Nadu,Female,1978-04-05,,,,
1133-KEMSN,2019-09-05,Organic,2019-10-05,Basic,Monthly,,,6.99,213,84,0,diya,India,Gujarat,Female,1999-07-23,,,,
1134-NWMCU,2025-01-06,Refferal,2026-01-01,Basic,Annual,,,6.99,378,72,0,meera,India,Gujarat,Male,1968-10-01,,,,
1135-JWNXH,2020-12-20,Paid,2021-01-19,Standard,Monthly,2023-01-28,Switched to competitor,17.99,65,76,1,vivaan,India,Telangana,Female,1970-03-16,,,,
1136-XIFLE,2019-11-12,Paid,2019-12-12,Basic,Monthly,,,8.99,321,67,0,rahul,India,Rajasthan,Male,1999-08-10,,,,
1137-IYDSV,2021-01-03,Organic,2021-02-02,Basic,Monthly,,,6.99,44,91,0,rahul,India,Maharashtra,Male,1966-12-23,,,,
1138-KHNXK,2019-10-10,Refferal,2020-10-04,Basic,Annual,,,8.99,579,45,0,krishna,India,Maharashtra,Male,1987-07-10,2020-10-21,Y,46.0,1.0
1139-XTHOL,2019-04-08,Organic,2019-05-08,Standard,Monthly,2020-05-11,Poor streaming quality,13.99,806,63,1,tara,India,Nagaland,Female,1997-11-09,,,,
1140-XJDGQ,2023-08-19,Refferal,2024-08-13,Basic,Annual,,,9.99,361,69,0,ayaan,India,Meghalaya,Male,1971-05-22,,,,
1141-QEUMC,2022-08-29,Refferal,2022-09-28,Basic,Monthly,2023-07-18,Switched to competitor,9.99,144,96,1,tara,India,Tamil Nadu,Female,1975-08-16,2023-07-16,Y,44.0,1.0
1142-YGOJO,2021-10-13,Organic,2022-10-08,Basic,Annual,,,9.99,390,68,0,krishna,India,Maharashtra,Male,2002-01-26,,,,
1143-FAMOR,2020-06-19,Refferal,2020-07-19,Basic,Monthly,2021-09-17,Too expensive,6.99,376,64,1,rahul,India,Gujarat,Female,1969-07-28,,,,
1144-CACGU,2023-06-06,Refferal,2023-07-06,Premium,Monthly,,,22.99,723,31,0,kiara,India,Karnataka,Male,1970-07-01,,,,
1145-IIOEB,2020-07-16,Organic,2020-08-15,Premium,Monthly,,,22.99,1245,46,0,nisha,India,Tamil Nadu,Male,1987-05-19,,,,
1146-MZWLP,2019-08-28,Organic,2019-09-27,Basic,Monthly,,,8.99,324,86,0,meera,India,Nagaland,Male,1982-06-04,,,,
